State,Population_2011,,,,,,,,
UTTAR PRADESH,199812341,,,,,,,,
MAHARASHTRA,112374333,,,,,,,,
BIHAR,104099452,,,,,,,,
WEST BENGAL,91276115,,,,,,,,
MADHYA PRADESH,72626809,,,,,,,,
TAMIL NADU,72147030,,,,,,,,
RAJASTHAN,68548437,,,,,,,,
KARNATAKA,61095297,,,,,,,,
GUJARAT,60439692,,,,,,,,
ANDHRA PRADESH,49386799,,,,,,,,
ODISHA,41974218,,,,,,,,
TELANGANA,35003674,,,,,,,,
KERALA,33406061,,,,,,,,
JHARKHAND,32988134,,,,,,,,
ASSAM,31205576,,,,,,,,
PUNJAB,27743338,,,,,,,,
CHHATTISGARH,25545198,,,,,,,,
HARYANA,25351462,,,,,,,,
DELHI UT,16787941,,,,,,,,
JAMMU & KASHMIR,12267032,,,,,,,,
UTTARAKHAND,10086292,,,,,,,,
HIMACHAL PRADESH,6864602,,,,,,,,
TRIPURA,3673917,,,,,,,,
MEGHALAYA,2966889,,,,,,,,
MANIPUR,2855794,,,,,,,,
NAGALAND,1978502,,,,,,,,
GOA,1458545,,,,,,,,
ARUNACHAL PRADESH,1383727,,,,,,,,
MIZORAM,1097206,,,,,,,,
SIKKIM,610577,,,,,,,,
CHANDIGARH,1055450,,,,,,,,
PUDUCHERRY,1247953,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,380581,,,,,,,,
DADRA & NAGAR HAVELI,293478,,,,,,,,
DAMAN & DIU,293478,,,,,,,,
LAKSHADWEEP,64473,,,,,,,,
,,,,,,,,,
